category,rank,occ_thr,edge_thr,weight_thr,evidence_count,pred_threshold,neg_pos_ratio,marginal_prob_threshold,tp,fp,tn,fn,total_samples,positive_samples,negative_samples,precision,recall,f1_score,accuracy,valid_days,total_days,network_nodes,negative_candidates_count,runtime_seconds
Highest F1,1,4.0,3.0,0.2,1.0,0.1,1.0,0.08,56.0,12.0,43.0,4.0,115.0,60.0,55.0,0.8235294117647058,0.9333333333333332,0.8749999999999999,0.8608695652173913,13.0,29.0,35.0,9.0,0.2850391864776611
Highest F1,2,4.0,3.0,0.3,1.0,0.1,1.0,0.08,56.0,12.0,43.0,4.0,115.0,60.0,55.0,0.8235294117647058,0.9333333333333332,0.8749999999999999,0.8608695652173913,13.0,29.0,35.0,9.0,0.2232866287231445
Highest F1,3,4.0,3.0,0.4,1.0,0.1,1.0,0.08,56.0,12.0,43.0,4.0,115.0,60.0,55.0,0.8235294117647058,0.9333333333333332,0.8749999999999999,0.8608695652173913,13.0,29.0,35.0,9.0,0.1746995449066162
Highest F1,4,4.0,3.0,0.2,1.0,0.1,1.5,0.08,56.0,13.0,55.0,4.0,128.0,60.0,68.0,0.8115942028985508,0.9333333333333332,0.8682170542635659,0.8671875,13.0,29.0,35.0,9.0,0.3092439174652099
Highest F1,5,4.0,3.0,0.3,1.0,0.1,1.5,0.08,56.0,13.0,55.0,4.0,128.0,60.0,68.0,0.8115942028985508,0.9333333333333332,0.8682170542635659,0.8671875,13.0,29.0,35.0,9.0,0.2424302101135254
Highest Precision,1,2.0,1.0,0.2,1.0,0.1,1.0,0.03,55.0,6.0,57.0,15.0,133.0,70.0,63.0,0.9016393442622952,0.7857142857142857,0.8396946564885497,0.8421052631578947,13.0,29.0,53.0,11.0,3.377081632614136
Highest Precision,2,2.0,1.0,0.3,1.0,0.1,1.0,0.03,55.0,6.0,57.0,15.0,133.0,70.0,63.0,0.9016393442622952,0.7857142857142857,0.8396946564885497,0.8421052631578947,13.0,29.0,53.0,11.0,0.5578970909118652
Highest Precision,3,2.0,1.0,0.4,1.0,0.1,1.0,0.03,55.0,6.0,57.0,15.0,133.0,70.0,63.0,0.9016393442622952,0.7857142857142857,0.8396946564885497,0.8421052631578947,13.0,29.0,53.0,11.0,0.401836633682251
Highest Recall,1,4.0,1.0,0.2,1.0,0.1,1.0,0.08,58.0,23.0,32.0,2.0,115.0,60.0,55.0,0.7160493827160493,0.9666666666666668,0.8226950354609929,0.782608695652174,13.0,29.0,35.0,9.0,0.4503991603851318
Highest Recall,2,4.0,1.0,0.3,1.0,0.1,1.0,0.08,57.0,20.0,35.0,3.0,115.0,60.0,55.0,0.7402597402597403,0.95,0.8321167883211679,0.8,13.0,29.0,35.0,9.0,0.2481694221496582
Highest Recall,3,4.0,1.0,0.3,1.0,0.1,1.5,0.08,57.0,24.0,44.0,3.0,128.0,60.0,68.0,0.7037037037037037,0.95,0.8085106382978724,0.7890625,13.0,29.0,35.0,9.0,0.2650527954101562
Best Balanced,1,4.0,3.0,0.2,1.0,0.1,1.0,0.08,56.0,12.0,43.0,4.0,115.0,60.0,55.0,0.8235294117647058,0.9333333333333332,0.8749999999999999,0.8608695652173913,13.0,29.0,35.0,9.0,0.2850391864776611
Best Balanced,2,4.0,3.0,0.3,1.0,0.1,1.0,0.08,56.0,12.0,43.0,4.0,115.0,60.0,55.0,0.8235294117647058,0.9333333333333332,0.8749999999999999,0.8608695652173913,13.0,29.0,35.0,9.0,0.2232866287231445
Best Balanced,3,4.0,3.0,0.4,1.0,0.1,1.0,0.08,56.0,12.0,43.0,4.0,115.0,60.0,55.0,0.8235294117647058,0.9333333333333332,0.8749999999999999,0.8608695652173913,13.0,29.0,35.0,9.0,0.1746995449066162
Most Robust,1,2.0,1.0,0.2,1.0,0.1,1.0,0.08,55.0,16.0,54.0,15.0,140.0,70.0,70.0,0.7746478873239436,0.7857142857142857,0.7801418439716311,0.7785714285714286,13.0,29.0,53.0,27.0,1.140920877456665
Most Robust,2,2.0,1.0,0.2,1.0,0.1,1.5,0.08,55.0,20.0,81.0,15.0,171.0,70.0,101.0,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.7953216374269005,13.0,29.0,53.0,27.0,1.088900804519653
Most Robust,3,2.0,1.0,0.2,1.0,0.1,2.0,0.08,55.0,26.0,108.0,15.0,204.0,70.0,134.0,0.6790123456790124,0.7857142857142857,0.728476821192053,0.7990196078431373,13.0,29.0,53.0,27.0,1.169581174850464
