category,rank,f1_score,precision,recall,negative_candidates,occ_thr,edge_thr,weight_thr,evidence_count,pred_threshold,neg_pos_ratio,marginal_prob_threshold
Highest F1,1,0.8749999999999999,0.8235294117647058,0.9333333333333332,9.0,4.0,3.0,0.2,1.0,0.1,1.0,0.08
Highest F1,2,0.8749999999999999,0.8235294117647058,0.9333333333333332,9.0,4.0,3.0,0.3,1.0,0.1,1.0,0.08
Highest F1,3,0.8749999999999999,0.8235294117647058,0.9333333333333332,9.0,4.0,3.0,0.4,1.0,0.1,1.0,0.08
Highest Precision,1,0.8396946564885497,0.9016393442622952,0.7857142857142857,11.0,2.0,1.0,0.2,1.0,0.1,1.0,0.03
Highest Precision,2,0.8396946564885497,0.9016393442622952,0.7857142857142857,11.0,2.0,1.0,0.3,1.0,0.1,1.0,0.03
Highest Precision,3,0.8396946564885497,0.9016393442622952,0.7857142857142857,11.0,2.0,1.0,0.4,1.0,0.1,1.0,0.03
Highest Recall,1,0.8226950354609929,0.7160493827160493,0.9666666666666668,9.0,4.0,1.0,0.2,1.0,0.1,1.0,0.08
Highest Recall,2,0.8321167883211679,0.7402597402597403,0.95,9.0,4.0,1.0,0.3,1.0,0.1,1.0,0.08
Highest Recall,3,0.8085106382978724,0.7037037037037037,0.95,9.0,4.0,1.0,0.3,1.0,0.1,1.5,0.08
Best Balanced,1,0.8749999999999999,0.8235294117647058,0.9333333333333332,9.0,4.0,3.0,0.2,1.0,0.1,1.0,0.08
Best Balanced,2,0.8749999999999999,0.8235294117647058,0.9333333333333332,9.0,4.0,3.0,0.3,1.0,0.1,1.0,0.08
Best Balanced,3,0.8749999999999999,0.8235294117647058,0.9333333333333332,9.0,4.0,3.0,0.4,1.0,0.1,1.0,0.08
Most Robust,1,0.7801418439716311,0.7746478873239436,0.7857142857142857,27.0,2.0,1.0,0.2,1.0,0.1,1.0,0.08
Most Robust,2,0.7586206896551724,0.7333333333333333,0.7857142857142857,27.0,2.0,1.0,0.2,1.0,0.1,1.5,0.08
Most Robust,3,0.728476821192053,0.6790123456790124,0.7857142857142857,27.0,2.0,1.0,0.2,1.0,0.1,2.0,0.08
